sku;family;categories;total_megapixels;maximum_video_resolution;maximum_frame_rate;weight;power_requirements;description-fr_FR-print;description-fr_FR-mobile;description-en_US-print;description-en_US-mobile;description-de_DE-print;description-de_DE-mobile;name;release_date;picture;price
1226378;webcams;webcams,cameras_sales,microsoft;;1280-x-1024;30;;;;;"<b>High Definition Video and Photos </b>\n High Definition video (1.3 megapixels) and photos (5.0 megapixels interpolated) show you in the best light. \n<b>Built-in Microphone</b> \n The built-in microphone automatically picks up your voice with remarkable clarity. \n<b>Windows Live™ Call Button</b> \n Just press this button and select an Online Contact to start a video call. \n<b>Wide-angle Lens </b>\n The 71 degree wide angle lens ensures no one gets left out of the picture. \n<b>Universal Attachment Base </b>\n It’s a snap to attach the LifeCam to any monitor. \n<b>3X Digital Zoom</b> \n The zoom delivers realistic, up-close-and-personal video, so you can see the contours of every smile. \n<b>Pan and Tilt </b>\n The pan and tilt functionality make it a snap to capture the big picture, however you want to see it. \n<b>Automatic Face-Tracking Software</b>\n Move around without disappearing from the screen—advanced software keeps your face front and center. \n<b>Flexible Six-Foot Cable</b> \n The long, flexible cable gives you more room to move. \n<b>Hi-Speed USB</b> \n The new USB 2 enables much higher connection speeds, so you can experience life in real-time. \n<b>Video Effects </b>\n Surprise your friends with cool video effects, accessible right from the Windows Live Messenger Window. \n<b>Up To 30 Frames Per Second </b>\n LifeCams capture life at 30 frames per second, which means the video images you see are smooth and seamless. ";"LifeCam VX-6000, 3pk";;;"Microsoft LifeCam VX-6000, 3pk";2007-08-29;images/1226378-4587.jpg;"228.87 EUR,54.1 USD"
1226383;webcams;webcams,cameras_sales,microsoft;1.3;640-x-480;30;;;;;"<b>Photo Swap </b>\nShare and swap photos in real time with your friends and family using Windows Live Messenger—right in the video call window! \n<b>Windows Live™ Call Button </b>\nJust press this button and select an Online Contact to start a video call.\n<b>LifeCam Dashboard </b>\nAdd special effects and control your webcam—all from the Windows Live Messenger window.\n<b>One-touch Blogging </b>\nUpload your blog on Windows Live™ Spaces with any of your photos at the simple click of your mouse.\n<b>Optimized for Windows Live Messenger </b>\nSeamlessly integrated with Windows Live Messenger for easy setup and use.\n<b>Superior Video Quality </b>\nSee the smiles clearly with 640 x 480 pixel video resolution.\n<b>Notebook Mobility </b>\nAn ultra-compact notebook webcam for video calling.\n<b>High Definition 1.3 Megapixel Still Photos </b>\nHigh Definition still photos show you in the best light.* \n<b>Built-in Microphone </b>\nThe built-in microphone automatically picks up your voice with remarkable clarity. \n<b>Crystal-clear Audio </b>\nAutomatic audio control for enhances clarity.\n<b>Broad IM Compatibility </b>\nWorks with other instant messaging programs, such as Skype, Yahoo! Messenger and AOL Instant Messenger™. \n<b>Pan, Tilt and Zoom </b>\nThe pan and tilt functionality make it a snap to capture the big picture, however you want to see it.\n<b>Video Effects </b>\nDiscover a fun way to express yourself with these entertaining video effects built into the LifeCam dashboard.\n<b>Carrying Case </b>\nProtect your mouse while you’re on the go. \n<b>Swivel Lens </b>\nGet that perfect view with the swivel lens.";"OEM MS LifeCam NX-3000 v1.0 NON for Windows USB Port";;;"Microsoft LifeCam NX-3000";2007-08-29;images/1226383-201.jpg;"794.75 EUR,425.2 USD"
12312158;webcams;webcams,cameras_sales,a4tech;0.3;640-x-480;30;;;;;"Since A4 Tech Corporation has founded in 1987, our commitment and passion have not changed . Today A4 Tech is a global leader of personal computer peripherals. A4 Tech had won many awards in recognition for our unique innovative technology. A4 Tech maintains an exceptionally strong commitment to develop , for it's within the discipline of development that yesterday's fiction becomes tomorrow's reality. We strive to identify things which, when made better, improve people's life style.\n\nA4 Tech has the latest in Optical technology, using these engines in most of the latest mouse products. A4 Tech makes many different shapes and sizes of pointing devices and ships over 25 million units per year. With high capacity manufacturing in China, A4 Tech has the ability to "" build to order "". With natural beauty environment factory, A4 Tech's worker has the spirit to develop and assemble .\n\nBecause the need of quality award winning product is universal, A4 Tech is worldwide. A list of international partners from distributors to system integrators, from OEM partners to ODM personalized product. A4 Tech believes that the expansion into the global market is an essential link between product and people.";"PK-635 ViewCam";;;"A4Tech PK-635";2012-01-10;images/12312158-6423.jpg;"772.35 EUR,393.69 USD"
12312161;webcams;webcams,cameras_sales,a4tech;0.3;1600-x-1200;30;;;;;"Since A4 Tech Corporation has founded in 1987, our commitment and passion have not changed . Today A4 Tech is a global leader of personal computer peripherals. A4 Tech had won many awards in recognition for our unique innovative technology. A4 Tech maintains an exceptionally strong commitment to develop , for it's within the discipline of development that yesterday's fiction becomes tomorrow's reality. We strive to identify things which, when made better, improve people's life style.\n\nA4 Tech has the latest in Optical technology, using these engines in most of the latest mouse products. A4 Tech makes many different shapes and sizes of pointing devices and ships over 25 million units per year. With high capacity manufacturing in China, A4 Tech has the ability to "" build to order "". With natural beauty environment factory, A4 Tech's worker has the spirit to develop and assemble .\n\nBecause the need of quality award winning product is universal, A4 Tech is worldwide. A list of international partners from distributors to system integrators, from OEM partners to ODM personalized product. A4 Tech believes that the expansion into the global market is an essential link between product and people.";"PK-636K - Flexible Web Camera";;;"A4Tech PK-636K";2012-01-10;images/15743_12312161-3073.jpg;"968.71 EUR"
12312165;webcams;webcams,cameras_sales,a4tech;0.3;800-x-600;30;;;;;"Since A4 Tech Corporation has founded in 1987, our commitment and passion have not changed . Today A4 Tech is a global leader of personal computer peripherals. A4 Tech had won many awards in recognition for our unique innovative technology. A4 Tech maintains an exceptionally strong commitment to develop , for it's within the discipline of development that yesterday's fiction becomes tomorrow's reality. We strive to identify things which, when made better, improve people's life style.\n\nA4 Tech has the latest in Optical technology, using these engines in most of the latest mouse products. A4 Tech makes many different shapes and sizes of pointing devices and ships over 25 million units per year. With high capacity manufacturing in China, A4 Tech has the ability to "" build to order "". With natural beauty environment factory, A4 Tech's worker has the spirit to develop and assemble .\n\nBecause the need of quality award winning product is universal, A4 Tech is worldwide. A list of international partners from distributors to system integrators, from OEM partners to ODM personalized product. A4 Tech believes that the expansion into the global market is an essential link between product and people.";"PK-835MJ - 5M Notebook WebCam";;;"A4Tech PK-835MJ";2012-01-10;images/15743_12312165-8610.jpg;"477.93 EUR,459.21 USD"
123312;webcams;webcams,cameras_sales,logitech;;640-x-480;30;;;;;"The QuickCam Communicate makes incredibly easy to communicate over the Internet with video and audio. Just install the software, plug in the webcam to your USB port, and start communicating with friends and family. Make live video calls to family. The next best thing to being there in person. Now you can make two-way real-time video calls. With the built-in microphone, it's easy to see and hear loved ones miles away. Add video to your instant messages. Video-chat with one click using MSN Messenger, AIM /AOL Instant Messenger (AIM), Yahoo! Messenger, or Windows Messenger (on XP). It's easy, fun, and far more personal than ordinary text messaging. Instantly attach photos and video to email. It only takes one click to attach and send a photo or video. Just shoot and click. No downloading. Set up your own webcam. You can automatically capture and update images to your website every few seconds.";"Logitech QuickCam Communicate Plus - Digital video camera to communicate over the Internet with video and audio";;;"Logitech QuickCam Communicate Plus";2005-07-15;;"803.65 EUR,345.45 USD"
12346378;webcams;webcams,cameras_sales,logitech;;1920-x-1080;;;;;;"<b>First webcam with UVC H.264 technology – the only webcam that enables true HD 1080p video on Skype™</b>\n\n\n<b>Full HD 1080p video calling on Skype®</b>\nYour loved ones will see the real you in breathtaking Full HD clarity—only on the C920 and Skype.\n\n<b>H.264 video standard</b>\nYou’ll enjoy faster, smoother video and better image quality with less demand on your computer thanks to H.264 encoding—the industry standard for HD video.\n\n<b>HD 720p video calls</b>\nYou’ll get 720p video calling on most major instant messaging services, including Windows Live™ - Messenger, and Logitech Vid HD.\n\n<b>Full HD 1080p recording</b>\nYou can record in breathtaking, widescreen Full HD 1080p at 30 frames-per-second (fps). Plus, with H.264 encoding, your computer doesn’t have to work as hard for you to get great video.\n\n<b>One-click to Facebook®</b>\nYou can easily capture HD video (1080p) and upload in no time to Facebook, Twitter™ or YouTube™—thanks to H.264, an advanced compression technology.\n\n<b>Autofocus</b>\nThe 20-step autofocus is more responsive, more sensitive and more intelligent. So whether your kids won’t stop moving or you’re trying to capture your latest dance moves, the C920 delivers razor-sharp images (from 10 cm and beyond) for every occasion.\n\n<b>Carl Zeiss® optics</b>\nYou’ll enjoy razor-sharp images from a lens designed with the help of one of the pioneers in the industry.\n\nFind out more about why our collaboration with Carl Zeiss benefits you.\n\n<b>Natural stereo audio</b>\nYou can be sure your loved ones will hear the real you thanks to dual stereo mics.\n\n<b>Stable mounting clip</b>\nThe versatile clip with rubberized bumpers helps hold your webcam securely in place on your desktop or laptop monitor. Plus, it’ll even mount on a tripod.\n\n<b>15-megapixel snapshots</b>\nYou can send brilliant 15-megapixel snapshots (software enhanced) to the people you care about.";"C920 Webcam, 15 MP, Full HD 1080p, H.264, Carl Zeiss lens, autofocus, clip";;;"Logitech C920";2012-01-12;;"414.86 EUR,65.95 USD"
12349227;webcams;webcams,cameras_sales,trust;;1920-x-1080;30;;;"Webcam de qualité supérieure pour l'enregistrement de vidéos fluides avec une résolution Full HD (1920x1080, 30 fps). Microphone stéréo intégré pour une diction claire sans bruit, ni écho. Mise au point automatique offrant une image nette quelle que soit la distance, même pour les gros plans. Photos jusqu'à 8 mégapixels. Objectif grand angle permettant de capturer plusieurs personnes en une seule vue. Logiciel d'enregistrement permettant de publier rapidement et facilement des vidéos sur YouTube. Compatibilité immédiate avec MSN/Live Messenger et Skype. ";"Webcam de qualité supérieure pour l'enregistrement de vidéos fluides avec une résolution Full HD (1920x1080, 30 fps)";"High quality webcam for smooth video recording in Full HD resolution (1920x1080, 30 fps). Built-in stereo microphone for clear speech without noise and echo. Autofocus for sharp image at any distance, even in close-ups. Up to 8 megapixels photos. Wide angle lens to capture multiple persons in a single shot. Video recording software for quick and easy uploading to Youtube. Instantly works with MSN/Live Messenger and Skype. ";"High quality webcam for smooth video recording in Full HD resolution (1920x1080, 30 fps)";"Hochwertige Webcam für ruckelfreie Videoaufnahmen in voller HD-Auflösung (1920x1080, 30 fps). Eingebautes Stereomikrofon für klare Sprachqualität ohne Rauschen und Echo. Autofokus für hohe Bildschärfe in jedem Abstand, auch bei Nahaufnahmen. Fotos mit bis zu 8 Megapixel. Weitwinkelobjektiv zur Aufnahme von mehreren Personen in einem Bild. Videoaufnahmesoftware für schnelles, einfaches Hochladen zu Youtube. Funktioniert sofort mit MSN/Live Messenger und Skype. ";"Hochwertige Webcam für ruckelfreie Videoaufnahmen in voller HD-Auflösung (1920x1080, 30 fps)";"Trust Zyno";2012-01-12;images/15743_12349227-Trust.jpg;"757.94 EUR,273.19 USD"
1237866;webcams;webcams,cameras_sales,cisco;;640-x-480;30;;"12V DC, 1A";;;"<b>High Quality Video Surveillance platform with Power over Ethernet provides flexible installation</b>\n\n    - Box camera with PoE, interchangeable lenses, and IO ports allow for flexible installation for multiple applications.\n    - High quality progressive CCD sensor with low light sensitivity and an IR Filter switcher provides optimal video image under multiple conditions.\n    - Simultaneous dual CODEC provides optimal combination of viewing and storage of video.\n    - Two-way audio, IP Multicast, 3GPP, and lots of other advanced features make this solution ideal for Surveillance deployments.\n\nLinksys Business Series Surveillance products provide customizable ways for small business owners to monitor and protect their companies. These high-quality solutions can be optimized for many different applications and sites. Each camera can be quickly mounted utilizing the bracket included in the package. Its compact form factor also enables the camera to be put inside a protective enclosure for interior or exterior installations. The camera uses removable CS-mount lenses and can be customized with optional Zoom, Wide-Angle, Vari-focal, Auto-Iris, or other type of lenses as required for a specific application or setting.\n\nThe PVC2300 is a Power over Ethernet (PoE) device so it can be powered from a PoE Switch or power injector via Ethernet cabling. This enables installations near ceilings on rooftops or anywhere where power outlets may not be available. The PVC2300 Camera can be mounted on any Pan-Tilt (PT) base that supports the Pelco_D protocol and can be remotely rotated and controlled through an RS-485 interface. The PVC2300 also has two input and two output ports which can be used for connecting the camera to an alarm panel, siren, Passive InfraRed (PIR) sensors, smoke detectors, lighting switch (on/off), door sensors, etc.\n\nThe PVC2300 uses a high-quality progressive scan CCD Sensor delivering good quality video. The CCD sensor also has low-light sensitivity so video can be captured even in very low light environments or during ""near dark"" times of day. Additionally, the camera incorporates an IR Cut Filter which, when used with a separate IR lamp, allows for video capture in total darkness.\n\nThe PVC2300 Surveillance Camera supports dual codecs (MPEG-4 and MJPEG). Both codecs can be used simultaneously. MPEG-4 gives efficient bandwidth consumption with good quality compression and is optimal for real-time viewing of video. MJPEG gives optimal video quality with lossy compression making it ideal for large volume storage to a NAS device.\n\nThe PVC2300's audio capabilities include 2-way Audio, embedded Microphone, external speaker and microphone ports, and voice compression.\n\nWith extensive feature support like IP Multicast, RTSP, RTP, and 3GPP, video can be viewed from multiple endpoints and client applications like 3G phones, and Quicktime clients on PCs or WiFi phones.\n\nSupport for multiple network protocols like 802.1p priority, 802.1q VLANs, and Dynamic DNS, make the solution ideal for multiple IP Surveillance applications. The 2300-series cameras can also be managed securely using HTTPS.\n\nLinksys Business Series Surveillance Cameras are also Linksys One Ready. That means they include the necessary firmware to be integrated into a Linksys One data or data/voice network.";"Business Internet Video Camera w/ Audio & POE";;;"Cisco Business Internet Video Camera";2007-09-19;images/1237866-141.jpg;"846.05 EUR,530.53 USD"
12439161;webcams;webcams,cameras_sales,hiper;;;;;;;;"Hiper 1241. Video formats supported: DIVX. Sensor type: CMOS. Interface: USB 2.0, Colour of product: Black, Silver, Mounting type: Stand";"Hiper 1241, DIVX, CMOS, USB 2.0, Black, Silver, Stand";;;"Hiper 1241 webcam";2012-01-20;images/15743_12439161-4186.jpg;"572.29 EUR,39.89 USD"
12439162;webcams;webcams,cameras_sales,hiper;;1280-x-960;;;;;;"Hiper 4261. Maximum video resolution: 1280 x 960, Video formats supported: DIVX. Sensor type: CMOS. Interface: USB 2.0, Colour of product: Black, Mounting type: Clip";"Hiper 4261, 1280 x 960, DIVX, CMOS, USB 2.0, Black, Clip";;;"Hiper 4261 webcam";2012-01-20;images/15743_12439162-5925.jpg;"338.37 USD"
12442519;webcams;webcams,cameras_sales,conceptronic;;;;;;"Avec cette FlexCam720P HD , vous pouvez communiquer et partager des moments particuliers avec n'importe qui par Internet en haute résolution ! Cette webcam HD 2.0 mégapixels   de haute qualité est idéale pour la capture vidéo en qualité haute définition et pour prendre des photos jusqu'à 5.0 mégapixels (interpolés) ! La webcam dispose de fonctionnalités comme le suivi de visage automatique ( une technologie qui maintient automatiquement votre visage au centre de l'image vidéo) et les cadres de photos (une fonction permettant de créer et d'ajouter vos propres cadres photo à vos clichés) ! De plus, cette webcam est entièrement compatible avec toutes les applications de messagerie instantanée et est équipée d'un microphone intégré. Grâce au pied unique de la webcam, vous pouvez l'utiliser aussi bien accrochée à votre écran LCD ainsi que debout sur votre bureau.";"Avec cette FlexCam 720P HD, vous pouvez communiquer et partager des moments particuliers avec n'importe qui par Internet en HD !";"With this 720P HD Flexcam you can communicate and share special moments with anyone through the Internet in high resolution! The extremely high quality real 2.0 megapixel HD webcam is perfect for capturing video in high definition quality and taking snapshots of up to 5.0 megapixels (interpolated)! The webcam has special features like Auto Face Tracking (a technology that automatically keeps your face in the center of the video frame) and Photo Frames (a feature for creating and adding your own photo frames to your snapshots)! Additionally, this webcam is fully compatible with all instant messenger applications and is equipped with a built-in microphone. Thanks to the unique foot of the webcam, you can use it both hanging on your LCD screen as well as standing on your desk.";"With this 720P HD Flexcam you can communicate and share special moments with anyone through the Internet in HD!";"Mit der 720P HD Flexcam können Sie im Internet kommunizieren und kostbare Momente mit Ihren Freu(n)den teilen – in hoher Auflösung! Die besonders hochwertige  2-Megapixel-HD-Webcam eignet sich perfekt zum Einfangen von Videos in HD-Qualität und für Schnappschüsse mit einer Auflösung bis 5 Megapixel (interpoliert)! Die Webcam bietet spezielle Funktionen wie automatische Gesichtsverfolgung (eine neuartige Technologie, die dafür sorgt, dass Ihr Gesicht stets im Mittelpunkt des Videos bleibt) und Bilderrahmen (eine praktische Funktion, mit der Sie Ihre Schnappschüsse mit selbst erstellten Bilderrahmen umgeben können). Obendrein ist die Webcam mit sämtlichen gängigen Instant Messaging-Anwendungen voll kompatibel und mit einem integrierten Mikrofon ausgestattet. Dank des einzigartigen Fußes können Sie die Webcam entweder problemlos an Ihrem LCD-Bildschirm befestigen oder einfach auf den Schreibtisch stellen.";"Mit der 720P HD Flexcam können Sie im Internet kommunizieren und kostbare Momente mit Ihren Freu(n)den teilen – in HD!";"Conceptronic 720P Widescreen HD Webcam";2012-01-20;images/12442519-Conceptronic.jpg;"778.85 EUR,275.56 USD"
126489;webcams;webcams,cameras_sales,logitech;;640-x-480;30;;;;;"Bring your instant messages-and your drab desktop-to life with the stunning silver QuickCam Zoom. With just one click, you can add live video to your instant messages and share a smile with anyone, anywhere in the world. Thanks to the digital zoom and the automatic face-tracking technology, you can capture your special moments with more clarity and ease. You can also conduct video calls and conferences and say what's on your mind with live audio using the built-in microphone. With the QuickCam Zoom, it's never been easier to zoom in and get closer! \n\nAdd live video to MSN® Messenger, now with fast video and large 320 x 240 image size \nWorks with video-enabled Yahoo!® Messenger, and Windows® Messenger \nLet the automatic face-tracking technology follow your every move \nEnjoy true 640 x 480 resolution \nTurn on automatic zoom \nCapture sound with the built-in microphone \nWorks with PC and Mac OS® X";"QUICKCAM ZOOM REFRESH USB ZOOM VIA SOFTWARE";;;"Logitech QUICKCAM ZOOM REFRESH";2005-07-15;;"784 EUR,627.95 USD"
1269549;webcams;webcams,cameras_sales,sony;;640-x-480;;;;;;"Witness incredible interactive gameplay with the PLAYSTATION®Eye. Not only can you chat with up to six people at once and share photos instantly, you can also play exclusive games that use speech recognition and movement tracking for a unique experience. The PLAYSTATION®Eye features fast frame rate for pristine video quality and is engineered to perform even in low-light conditions. A dual-action lens is included for close-up and full body options.\n\n- Chat with up to 6 people at one time\n- Share photos while you chat\n- Sound quality is crystal clear with the built-in 4 microphone array\n- Fast frame rate of 120 frames/second provides pristine video quality\n- Engineered to perform well in low light conditions\n- Zoom lens for close-up or full body options";"Eye-Camera, PS3";"Verbinden Sie die Playstation Eye-Kamera zum bewegungssensitiven, interaktiven Spielen und Online-Chatten. \nProdukteigenschaften: \n- Mikrofon mit Kugelcharakteristik für erstklassige Sprach-Standortbestimmung \n- Höhere Bildfrequenz für verbesserte Videoqualität \n- Reduktion von Hintergrundgeräuschen für bessere Spracherkennung \n- Zoomobjektiv (56°-75° Blickwinkel) für noch mehr Flexibilität \n- Außerdem enthalten ist die kostenlose Software EyeCreate für die Bearbeitung eigener Fotos und Videos - Nehmen Sie Audio-Clips auf, bearbeiten Sie ihr eigenes Material und fügen Sie Spezialeffekte hinzu.";"Eye-Camera, PS3";"Sony Eye-Camera, PS3";2007-09-26;images/1269549-5286.jpg;"518.68 EUR,615.79 USD"
1270061;webcams;webcams,cameras_sales,levelone;;640-x-480;30;;;"<b>Présentation général du produit</b>\nLa caméra réseau sans fil WCS-0010 11g est une caméra réseau abordable pour la maison et le bureau qui offre une surveillance IP et à distance via l’Internet. Elle fournit les utilisateurs une compression vidéo MPEG-4 et Motion JPEG, l’audio bidirectionnel, une interface basée sur le web, la détection de mouvement et des fonctions d’alarme.\n\n<b>Vidéo Surveillance sans fil</b>\nLa caméra réseau sans fil WCS-0010 11g est une caméra réseau efficace et facile à utiliser, elle supporte à la fois des connections fixes ou sans fil pour une installation facile. Que ce soit pour la maison, la surveillance professionnelle ou pour s'amuser, cette caméra de réseau possède toutes les fonctions nécessaires pour une caméra de surveillance IP abordable et facile à utiliser.\n\n<b>Compression multiple vidéo et audio bidirectionnel</b>\nAvec la compression vidéo MPEG-4 et Motion-JPEG augmentée, les utilisateurs bénéficient d'une qualité d’image maximum avec une faible bande passante nécessaire. La WCS-0010 inclut standard la compression audio G.726 populaire pour une synchronisation facile avec des flux vidéo en direct. La fonction communication audio bidirectionnel de cette caméra permet les utilisateurs d’employer la caméra réseau WCS-0010 11g en tant qu’interphone.\n\n<b>Détection de mouvement & Avis par e-mail</b>\nAvec la WCS-0010 il est possible de configurer 4 zones de détection de mouvement, chacune avec sa taille et sensitivité ajustable. Lorsqu'un mouvement est détecté dans les endroits spécifiques, le système peut envoyer un e-mail d’alarme ou des images enregistrés par FTP téléchargement vers un serveur de stockage désigné.\n\n<b>Livré avec LevelOne IP CamSecure Lite</b>\nLa caméra réseau sans fil WCS-0010 11g est livré avec l’ensemble informatique de gestion de surveillance LevelOne IP CamSecure Lite. C’est un outil de gestion facile à l’emploi basé sur le web qui permet les utilisateurs de surveiller la caméra sur place par le LAN ou à distance via l’internet.";"Caméra Réseau sans fil (MPEG4/MJPEG)";"<b>Key features:</b>\n\n    - Easy to use 11g Wireless Network Camera for home and office use\n    - Supports MJPEG and MPEG-4 video compression standards\n    - Features a bi-directional microphone for easy setup as an intercom with display\n    - Supports up to 30 frames per second in full VGA resolution\n    - Features Motion Detection and Event-notification via E-mail or FTP\n    - Supports UPnP for Easy set-up and installation·\n    - Supports DDNS for dynamic IP\n    - Bundled with LevelOne IP CamSecure Lite surveillance management software\n    - Remote viewing over the Internet or via 3G Mobile phone\n    - Features cross-platform of Windows/ Mac/ Linux";"WCS-0010, Wireless Network Camera";"Die WCS-0010 11g Netzwerk Kamera ist eine benutzerfreundliche Kamera, die eine drahtlose 54Mbps und eine kabelgebundene 10/100Mbps Netzwerk-schnittstelle zur einfachen Installation bietet. Ob zur privaten oder geschäftlichen Überwachung, zur Unterhaltung oder Spaß, diese Netzwerkkamera bietet die nötigen Funktionen für eine günstige und einfach zu nutzenden IP Überwachungskamera.\n\n<b>Video- und Audio-Kompression</b>\nMit fortschrittlicher MPEG-4 und Motion-JPEG Videokompression kann der Anwender eine maximale Bildqualität bei einer minimalen Bandbreitennutzung nutzen. Die WCS-0010 bietet den verbreiteten G.726 Audiokompressionsstandard zur einfachen Synchronisierung mit live Videostreams. Die bi-direktionale Audiokommunikation ermöglicht es dem Anwender diese Kamera auch als Interkom zu verwenden.\n\n<b>Bewegungserkennung und E-Mails</b>\nDer Anwender kann bis zu 4 Bereiche zur Bewegungserkennung festlegen, jeden mit einstellbarer Größe und Empfindlichkeit. Wenn eine Bewegung in einem der Bereiche erkannt wird, kann das System eine E-Mail senden oder einen Schnappschuss auf einem FTP-Server ablegen.\n\n<b>LevelOne IP CamSecure Lite</b>\nDas mitgelieferte 32-Kanal Softwarepaket, IP CamSecure32 Lite, erlaubt die gleichzeitige Anzeige von IP Kameras. Des Weiteren erlaubt die Software automatische Snapshots, Aufnahme des Videostream, Bewegungserkennung und 60 Sekunden Speicher für Aufnahmen vor oder nach einem Ereignis.";"WCS-0010, 11g Wireless Netzwerk Kamera";"LevelOne WCS-0010 webcam";2007-09-26;images/1270061-3472.jpg;"461.15 EUR,644.53 USD"
12773303;webcams;webcams,cameras_sales,logitech;2;1280-x-720;;;;;;"Premium quality 720p HD video calling for the busy professional on the go, with a 360° swivel and fold-and-go design.\n\n<b>HD Video Matters</b>\nWebcam quality and performance makes a difference to your business meetings. Learn about the key factors that can help you evaluate which webcam is the best for you.\n\n<b>Quality & Performance</b>\nWith built-in autofocus for image sharpness at multiple distances, 30 fps for fluidity during the call, and excellent microphone sound quality. Swivel the camera for multiple angle view or move away for privacy.\n\nEnjoy clear, 720p HD video calling from your laptop or on top of your monitor in your favorite video application, including Microsoft® Lync™ and Skype®.\n\n<b>Works well with others</b>\nThe B525 not only is plug-and-play for use in your favorite UVC compliant video software, but also optimized for Microsoft Lync and certified for Skype.\n\n<b>Design advantages for business</b>\nWith the 360° swivel, easily position the camera at multiple angles whether for single party or multi-party calling. And if you don’t want to be seen, swivel the camera away from you for privacy.\n\n<b>Premium HD quality with autofocus</b>\n720p HD up to 30 fps with autofocus -- images stay razor sharp in high definition, even in close-ups (up to 10 cm from the camera lens).\n\n<b>Fold-and-go for ultimate mobility</b>\nIntegrated fold-and-go design let’s you easily pack the camera and take it with you without needing a separate case – perfect for the busy professional on the go.\n\n<b>True 2.0-megapixel sensor with RightLight™ 2 technology</b>\nMaintain high quality image calling even in offices or conference rooms with lower lighting.\n\n<b>True plug and play</b>\nJust plug in the Logitech B525 HD Webcam and start up your application to begin video calling.\n\n<b>Loud and clear</b>\nBuilt-in mics with stereo audio ensures the sound quality is clear during professional conferencing.\n\n<b>Universal clip</b>\nFits your LCD monitor or laptop wherever you work.";"2MP, 1280 x 720 px, USB 2.0, 1.5 m, 88 g, Black + B530 USB Headset";;;"Logitech B525 + B530";2012-02-03;;"262.7 USD"
12804759;webcams;webcams,cameras_sales,cisco;2.7;1280-x-720;30;;;;;"- The Cisco TelePresence portfolio creates an immersive, face-to-face experience over the network-empowering you to collaborate with others like never before. Through a powerful combination of technologies and design that allows you and remote participants to feel as if you are all in the same room, the Cisco TelePresence portfolio has the potential to provide great productivity benefits and transform your business. Many organizations are already using it to control costs, make decisions faster, improve customer intimacy, scale scarce resources, and speed products to market.\n\n<b>Product Overview</b>\n\nCisco TelePresence PrecisionHD USB Camera is the first USB camera to deliver true HD business-quality video. Maximized for use with HD PC video applications, the camera delivers crystal clear 720p at 30 frames per second.";"TelePresence PrecisionHD USB Camera";;;"Cisco PrecisionHD";2012-02-07;images/12804759-8257.jpg;"682.32 EUR,7.63 USD"
